gk,jenis_MAKANAN,daerah_PERKOTAAN,provinsi_JAWA TIMUR,periode_SEPTEMBER,Cluster,jenis_original,daerah_original,provinsi_original,periode_original,gk_original
0.8459605555199821,-0.6666666666666666,-0.7071067811865475,-0.17149858514250885,1.0,7,TOTAL,PERDESAANPERKOTAAN,SULAWESI TENGAH,SEPTEMBER,424039.0
1.0732899239312714,-0.6666666666666666,1.4142135623730951,-0.17149858514250885,-1.0,3,TOTAL,PERKOTAAN,SULAWESI TENGAH,MARET,457193.0
1.2395186106174898,-0.6666666666666666,1.4142135623730951,-0.17149858514250885,1.0,6,TOTAL,PERKOTAAN,SULAWESI TENGAH,SEPTEMBER,481436.0
1.297424037300042,-0.6666666666666666,1.4142135623730951,-0.17149858514250885,-1.0,3,TOTAL,PERKOTAAN,SULAWESI TENGAH,MARET,489881.0
1.3171509659638316,-0.6666666666666666,1.4142135623730951,-0.17149858514250885,1.0,6,TOTAL,PERKOTAAN,SULAWESI TENGAH,SEPTEMBER,492758.0
0.91336946608436,-0.6666666666666666,-0.7071067811865475,-0.17149858514250885,-1.0,14,TOTAL,PERDESAAN,SULAWESI TENGAH,MARET,433870.0
1.0938190947409294,-0.6666666666666666,-0.7071067811865475,-0.17149858514250885,1.0,7,TOTAL,PERDESAAN,SULAWESI TENGAH,SEPTEMBER,460187.0
1.14581398527187,-0.6666666666666666,-0.7071067811865475,-0.17149858514250885,-1.0,14,TOTAL,PERDESAAN,SULAWESI TENGAH,MARET,467770.0
1.2206693485748212,-0.6666666666666666,-0.7071067811865475,-0.17149858514250885,1.0,7,TOTAL,PERDESAAN,SULAWESI TENGAH,SEPTEMBER,478687.0
0.9625050833261799,-0.6666666666666666,-0.7071067811865475,-0.17149858514250885,-1.0,14,TOTAL,PERDESAANPERKOTAAN,SULAWESI TENGAH,MARET,441036.0
