peng_winsor,gk_winsor,ump_scaled_winsor,Cluster
1186867.0,458011.0,14.73180128983843,2
1186867.0,479872.0,14.73180128983843,2
1186867.0,425730.0,14.73180128983843,2
1186867.0,442869.0,14.73180128983843,2
1186867.0,435454.0,14.73180128983843,2
1186867.0,454124.0,14.73180128983843,2
529161.0,330153.0,14.73180128983843,0
529161.0,347811.0,14.73180128983843,0
529161.0,331267.0,14.73180128983843,0
529161.0,346070.0,14.73180128983843,0
529161.0,330958.0,14.73180128983843,0
529161.0,346552.0,14.73180128983843,0
373833.0,127858.0,14.73180128983843,0
373833.0,132061.0,14.73180128983843,0
373833.0,94463.0,14.73180128983843,0
373833.0,96799.0,14.73180128983843,0
373833.0,104496.0,14.73180128983843,0
373833.0,107572.0,14.73180128983843,0
902994.0,458011.0,14.73180128983843,1
